player,position,team
Bogdan Bogdanović,SG,ATL
Clint Capela,C,ATL
John Collins,PF,ATL
Kris Dunn,PG,ATL
Bruno Fernando,C,ATL
Danilo Gallinari,PF,ATL
Brandon Goodwin,PG,ATL
Solomon Hill,PF,ATL
Kevin Huerter,SG,ATL
De'Andre Hunter,SF,ATL
Nathan Knight,PF,ATL
Skylar Mays,SG,ATL
Onyeka Okongwu,C,ATL
Cam Reddish,SF,ATL
Rajon Rondo,PG,ATL
Tony Snell,SG,ATL
Lou Williams,PG,ATL
Trae Young,PG,ATL
Jaylen Brown,SG,BOS
Carsen Edwards,SG,BOS
Tacko Fall,C,BOS
Evan Fournier,SG,BOS
Javonte Green,SF,BOS
Luke Kornet,C,BOS
Romeo Langford,SG,BOS
Aaron Nesmith,SF,BOS
Semi Ojeleye,PF,BOS
Jabari Parker,PF,BOS
Payton Pritchard,SG,BOS
Marcus Smart,PG,BOS
Jayson Tatum,SF,BOS
Jeff Teague,PG,BOS
Daniel Theis,C,BOS
Tristan Thompson,PF,BOS
Moritz Wagner,C,BOS
Kemba Walker,PG,BOS
Tremont Waters,PG,BOS
Grant Williams,PF,BOS
Robert Williams,C,BOS
Al-Farouq Aminu,PF,CHI
Ryan Arcidiacono,PG,CHI
Troy Brown Jr.,SF,CHI
Wendell Carter Jr.,C,CHI
Devon Dotson,PG,CHI
Cristiano Felício,C,CHI
Daniel Gafford,PF,CHI
Javonte Green,SG,CHI
Chandler Hutchison,SF,CHI
Luke Kornet,PF,CHI
Zach LaVine,SG,CHI
Lauri Markkanen,PF,CHI
Adam Mokoka,SG,CHI
Otto Porter Jr.,SF,CHI
Tomáš Satoranský,SG,CHI
Garrett Temple,SG,CHI
Daniel Theis,C,CHI
Denzel Valentine,SG,CHI
Nikola Vučević,C,CHI
Coby White,PG,CHI
Patrick Williams,PF,CHI
Thaddeus Young,PF,CHI
Jarrett Allen,C,CLE
Marques Bolden,C,CLE
Quinn Cook,PG,CLE
Matthew Dellavedova,PG,CLE
Damyean Dotson,SG,CLE
Andre Drummond,C,CLE
Dante Exum,SG,CLE
Yogi Ferrell,PG,CLE
Darius Garland,PG,CLE
Isaiah Hartenstein,C,CLE
Mfiondu Kabengele,PF,CLE
Kevin Love,PF,CLE
Thon Maker,C,CLE
Jeremiah Martin,PG,CLE
JaVale McGee,C,CLE
Larry Nance Jr.,PF,CLE
Isaac Okoro,SG,CLE
Cedi Osman,SF,CLE
Taurean Prince,PF,CLE
Collin Sexton,SG,CLE
Lamar Stevens,PF,CLE
Brodric Thomas,SG,CLE
Anderson Varejão,C,CLE
Dean Wade,PF,CLE
Dylan Windler,SF,CLE
Tyler Bey,SF,DAL
Jalen Brunson,PG,DAL
Trey Burke,PG,DAL
Willie Cauley-Stein,C,DAL
Luka Dončić,PG,DAL
Dorian Finney-Smith,PF,DAL
Josh Green,SG,DAL
Tim Hardaway Jr.,SG,DAL
Nate Hinton,SG,DAL
Wes Iwundu,SF,DAL
James Johnson,PF,DAL
Maxi Kleber,PF,DAL
Boban Marjanović,C,DAL
Nicolò Melli,PF,DAL
Kristaps Porziņģis,C,DAL
Dwight Powell,C,DAL
J.J. Redick,SG,DAL
Josh Richardson,SG,DAL
Tyrell Terry,PG,DAL
Will Barton,SF,DEN
Bol Bol,PF,DEN
Facundo Campazzo,PG,DEN
Vlatko Čančar,PF,DEN
Gary Clark,SF,DEN
PJ Dozier,SG,DEN
Aaron Gordon,PF,DEN
JaMychal Green,PF,DEN
R.J. Hampton,PG,DEN
Gary Harris,SG,DEN
Shaquille Harrison,SG,DEN
Isaiah Hartenstein,C,DEN
Markus Howard,SG,DEN
Nikola Jokić,C,DEN
JaVale McGee,C,DEN
Paul Millsap,PF,DEN
Monte Morris,PG,DEN
Jamal Murray,PG,DEN
Zeke Nnaji,PF,DEN
Michael Porter Jr.,SF,DEN
Austin Rivers,SG,DEN
Greg Whittington,PF,DEN
Saddiq Bey,SF,DET
Tyler Cook,SF,DET
Hamidou Diallo,SF,DET
Sekou Doumbouya,PF,DET
Wayne Ellington,SG,DET
Jerami Grant,SF,DET
Blake Griffin,PF,DET
Killian Hayes,PG,DET
Frank Jackson,PG,DET
Josh Jackson,SG,DET
Cory Joseph,PG,DET
Saben Lee,PG,DET
Rodney McGruder,SG,DET
Svi Mykhailiuk,SF,DET
Jahlil Okafor,C,DET
Mason Plumlee,C,DET
Derrick Rose,PG,DET
Deividas Sirvydis,SG,DET
Dennis Smith Jr.,PG,DET
Isaiah Stewart,C,DET
Delon Wright,SG,DET
Kent Bazemore,SF,GSW
Jordan Bell,C,GSW
Marquese Chriss,PF,GSW
Stephen Curry,PG,GSW
Draymond Green,PF,GSW
Damion Lee,SG,GSW
Kevon Looney,C,GSW
Nico Mannion,PG,GSW
Mychal Mulder,PG,GSW
Kelly Oubre Jr.,SF,GSW
Eric Paschall,PF,GSW
Gary Payton II,PG,GSW
Jordan Poole,SG,GSW
Alen Smailagić,PF,GSW
Juan Toscano-Anderson,SG,GSW
Brad Wanamaker,PG,GSW
Andrew Wiggins,PF,GSW
James Wiseman,C,GSW
D.J. Augustin,PG,HOU
Avery Bradley,SG,HOU
Armoni Brooks,SG,HOU
Sterling Brown,SG,HOU
Bruno Caboclo,PF,HOU
DeMarcus Cousins,C,HOU
Eric Gordon,SG,HOU
James Harden,SG,HOU
Danuel House Jr.,SF,HOU
DaQuan Jeffries,SG,HOU
Mason Jones,SG,HOU
Rodions Kurucs,SF,HOU
Anthony Lamb,SF,HOU
Kenyon Martin Jr.,SF,HOU
Ben McLemore,SG,HOU
David Nwaba,SF,HOU
Victor Oladipo,SG,HOU
Cameron Oliver,SF,HOU
Kelly Olynyk,PF,HOU
Justin Patton,C,HOU
Kevin Porter Jr.,SG,HOU
Cameron Reynolds,SF,HOU
Ray Spalding,C,HOU
Jae'Sean Tate,SF,HOU
Brodric Thomas,SG,HOU
Khyri Thomas,SG,HOU
P.J. Tucker,PF,HOU
John Wall,PG,HOU
D.J. Wilson,PF,HOU
Christian Wood,C,HOU
Goga Bitadze,C,IND
Brian Bowen,SF,IND
Amida Brimah,C,IND
Oshae Brissett,SF,IND
Malcolm Brogdon,PG,IND
Aaron Holiday,PG,IND
Justin Holiday,SG,IND
Jeremy Lamb,SG,IND
Jalen Lecque,PG,IND
Caris LeVert,SG,IND
Kelan Martin,SF,IND
T.J. McConnell,PG,IND
Doug McDermott,PF,IND
Victor Oladipo,SG,IND
Domantas Sabonis,PF,IND
JaKarr Sampson,PF,IND
Cassius Stanley,SG,IND
Edmond Sumner,SG,IND
Myles Turner,C,IND
T.J. Warren,SF,IND
Nicolas Batum,SF,LAC
Patrick Beverley,PG,LAC
Amir Coffey,SG,LAC
DeMarcus Cousins,C,LAC
Yogi Ferrell,PG,LAC
Malik Fitts,PF,LAC
Paul George,SF,LAC
Serge Ibaka,C,LAC
Reggie Jackson,SG,LAC
Mfiondu Kabengele,PF,LAC
Luke Kennard,SG,LAC
Kawhi Leonard,SF,LAC
Terance Mann,SG,LAC
Marcus Morris,PF,LAC
Daniel Oturu,C,LAC
Patrick Patterson,PF,LAC
Rajon Rondo,PG,LAC
Jay Scrubb,SG,LAC
Lou Williams,PG,LAC
Ivica Zubac,C,LAC
Kostas Antetokounmpo,PF,LAL
Devontae Cacok,PF,LAL
Kentavious Caldwell-Pope,SG,LAL
Alex Caruso,PG,LAL
Quinn Cook,PG,LAL
Anthony Davis,PF,LAL
Andre Drummond,C,LAL
Jared Dudley,PF,LAL
Marc Gasol,C,LAL
Montrezl Harrell,C,LAL
Talen Horton-Tucker,SG,LAL
LeBron James,PG,LAL
Damian Jones,C,LAL
Kyle Kuzma,SF,LAL
Wesley Matthews,SG,LAL
Alfonzo McKinnie,SF,LAL
Ben McLemore,SG,LAL
Markieff Morris,PF,LAL
Dennis Schröder,SG,LAL
Grayson Allen,SG,MEM
Kyle Anderson,PF,MEM
Desmond Bane,SG,MEM
Dillon Brooks,SF,MEM
Brandon Clarke,PF,MEM
Gorgui Dieng,C,MEM
Tim Frazier,PG,MEM
Jaren Jackson Jr.,C,MEM
Tyus Jones,PG,MEM
John Konchar,SG,MEM
Sean McDermott,SF,MEM
De'Anthony Melton,PG,MEM
Ja Morant,PG,MEM
Jontay Porter,PF,MEM
Killian Tillie,C,MEM
Xavier Tillman Sr.,PF,MEM
Jonas Valančiūnas,C,MEM
Justise Winslow,SF,MEM
Precious Achiuwa,PF,MIA
Bam Adebayo,C,MIA
Trevor Ariza,SF,MIA
Nemanja Bjelica,PF,MIA
Avery Bradley,SG,MIA
Jimmy Butler,SF,MIA
Dewayne Dedmon,C,MIA
Goran Dragić,PG,MIA
Maurice Harkless,SF,MIA
Udonis Haslem,C,MIA
Tyler Herro,SG,MIA
Andre Iguodala,SF,MIA
Meyers Leonard,C,MIA
Kendrick Nunn,PG,MIA
KZ Okpala,PF,MIA
Victor Oladipo,SG,MIA
Kelly Olynyk,C,MIA
Duncan Robinson,SF,MIA
Chris Silva,PF,MIA
Max Strus,SF,MIA
Gabe Vincent,PG,MIA
Jaylen Adams,PG,MIL
Giannis Antetokounmpo,PF,MIL
Thanasis Antetokounmpo,SF,MIL
D.J. Augustin,PG,MIL
Elijah Bryant,SG,MIL
Pat Connaughton,SG,MIL
Torrey Craig,SF,MIL
Mamadi Diakite,PF,MIL
Donte DiVincenzo,SG,MIL
Bryn Forbes,SG,MIL
Jrue Holiday,PG,MIL
Justin Jackson,SF,MIL
Rodions Kurucs,SF,MIL
Brook Lopez,C,MIL
Sam Merrill,SG,MIL
Khris Middleton,SF,MIL
Jordan Nwora,SF,MIL
Bobby Portis,C,MIL
Jeff Teague,PG,MIL
Axel Toupane,SF,MIL
P.J. Tucker,PF,MIL
D.J. Wilson,PF,MIL
Malik Beasley,SG,MIN
Jarrett Culver,SG,MIN
Ed Davis,C,MIN
Anthony Edwards,SG,MIN
Ashton Hagans,PG,MIN
Juancho Hernangómez,PF,MIN
Jake Layman,SF,MIN
Jaden McDaniels,PF,MIN
Jordan McLaughlin,PG,MIN
Jaylen Nowell,SG,MIN
Josh Okogie,SG,MIN
Naz Reid,C,MIN
Ricky Rubio,PG,MIN
D'Angelo Russell,PG,MIN
Karl-Anthony Towns,C,MIN
Jarred Vanderbilt,PF,MIN
RJ Barrett,SG,NYK
Ignas Brazdeikis,SF,NYK
Reggie Bullock,SF,NYK
Alec Burks,SG,NYK
Taj Gibson,C,NYK
Jared Harper,PG,NYK
Kevin Knox,SF,NYK
Nerlens Noel,C,NYK
Frank Ntilikina,PG,NYK
Elfrid Payton,PG,NYK
Norvel Pelle,C,NYK
Theo Pinson,SG,NYK
Immanuel Quickley,PG,NYK
Julius Randle,PF,NYK
Austin Rivers,SG,NYK
Mitchell Robinson,C,NYK
Derrick Rose,PG,NYK
Dennis Smith Jr.,PG,NYK
Obi Toppin,PF,NYK
Darius Bazley,PF,OKC
Tony Bradley,C,OKC
Charlie Brown Jr.,SG,OKC
Moses Brown,C,OKC
Gabriel Deck,PF,OKC
Hamidou Diallo,SG,OKC
Luguentz Dort,SG,OKC
Shai Gilgeous-Alexander,SG,OKC
Josh Hall,SF,OKC
George Hill,PG,OKC
Jaylen Hoard,SF,OKC
Al Horford,C,OKC
Justin Jackson,SF,OKC
Ty Jerome,SG,OKC
Théo Maledon,PG,OKC
Darius Miller,SF,OKC
Mike Muscala,C,OKC
Svi Mykhailiuk,SG,OKC
Aleksej Pokusevski,PF,OKC
Justin Robinson,PG,OKC
Isaiah Roby,PF,OKC
Kenrich Williams,PF,OKC
Al-Farouq Aminu,PF,ORL
Cole Anthony,PG,ORL
Dwayne Bacon,SG,ORL
Mo Bamba,C,ORL
Khem Birch,C,ORL
Jordan Bone,PG,ORL
Ignas Brazdeikis,SF,ORL
Devin Cannady,PG,ORL
Wendell Carter Jr.,C,ORL
Michael Carter-Williams,SG,ORL
Gary Clark,SF,ORL
James Ennis III,SF,ORL
Evan Fournier,SF,ORL
Robert Franks,PF,ORL
Markelle Fultz,PG,ORL
Aaron Gordon,PF,ORL
Donta Hall,PF,ORL
R.J. Hampton,SG,ORL
Gary Harris,SG,ORL
Karim Mané,PG,ORL
Frank Mason III,PG,ORL
Chuma Okeke,PF,ORL
Otto Porter Jr.,PF,ORL
Chasson Randle,PG,ORL
Terrence Ross,SG,ORL
Sindarius Thornwell,SG,ORL
Nikola Vučević,C,ORL
Moritz Wagner,C,ORL
Tony Bradley,C,PHI
Ignas Brazdeikis,SF,PHI
Gary Clark,PF,PHI
Seth Curry,SG,PHI
Joel Embiid,C,PHI
Terrance Ferguson,SG,PHI
Danny Green,SF,PHI
Tobias Harris,PF,PHI
George Hill,PG,PHI
Dwight Howard,C,PHI
Isaiah Joe,SG,PHI
Mason Jones,SG,PHI
Furkan Korkmaz,SG,PHI
Dakota Mathias,SG,PHI
Tyrese Maxey,SG,PHI
Shake Milton,SG,PHI
Vincent Poirier,C,PHI
Paul Reed,PF,PHI
Mike Scott,PF,PHI
Ben Simmons,PG,PHI
Matisse Thybulle,SG,PHI
Anthony Tolliver,PF,PHI
Rayjon Tucker,PG,PHI
Ty-Shon Alexander,SG,PHO
Deandre Ayton,C,PHO
Devin Booker,SG,PHO
Mikal Bridges,SF,PHO
Jevon Carter,PG,PHO
Torrey Craig,SF,PHO
Jae Crowder,PF,PHO
Langston Galloway,SG,PHO
Cameron Johnson,PF,PHO
Damian Jones,C,PHO
Frank Kaminsky,C,PHO
E'Twaun Moore,SG,PHO
Abdel Nader,SF,PHO
Chris Paul,PG,PHO
Cameron Payne,PG,PHO
Dario Šarić,C,PHO
Jalen Smith,PF,PHO
Carmelo Anthony,PF,POR
Keljin Blevins,SF,POR
Robert Covington,PF,POR
CJ Elleby,SF,POR
Enes Freedom,C,POR
Harry Giles,C,POR
Rondae Hollis-Jefferson,PF,POR
Rodney Hood,SF,POR
Derrick Jones Jr.,SF,POR
T.J. Leaf,PF,POR
Damian Lillard,PG,POR
Nassir Little,PF,POR
CJ McCollum,SG,POR
Jusuf Nurkić,C,POR
Norman Powell,SF,POR
Anfernee Simons,SG,POR
Gary Trent Jr.,SG,POR
Marvin Bagley III,PF,SAC
Harrison Barnes,PF,SAC
Nemanja Bjelica,PF,SAC
Terence Davis,SG,SAC
De'Aaron Fox,PG,SAC
Kyle Guy,PG,SAC
Tyrese Haliburton,PG,SAC
Maurice Harkless,PF,SAC
Buddy Hield,SG,SAC
Richaun Holmes,C,SAC
Justin James,SF,SAC
DaQuan Jeffries,SG,SAC
Damian Jones,C,SAC
Cory Joseph,PG,SAC
Louis King,SF,SAC
Chimezie Metu,C,SAC
Jabari Parker,PF,SAC
Norvel Pelle,C,SAC
Jahmi'us Ramsey,SG,SAC
Glenn Robinson III,SF,SAC
Chris Silva,PF,SAC
Hassan Whiteside,C,SAC
Robert Woodard II,SF,SAC
Delon Wright,PG,SAC
LaMarcus Aldridge,C,SAS
Keita Bates-Diop,SF,SAS
DeMar DeRozan,PF,SAS
Gorgui Dieng,C,SAS
Drew Eubanks,C,SAS
Rudy Gay,PF,SAS
Keldon Johnson,SF,SAS
Tre Jones,PG,SAS
Trey Lyles,PF,SAS
Patty Mills,PG,SAS
Dejounte Murray,PG,SAS
Jakob Poeltl,C,SAS
Cameron Reynolds,SF,SAS
Luka Šamanić,PF,SAS
Devin Vassell,SF,SAS
Lonnie Walker IV,SG,SAS
Quinndary Weatherspoon,SG,SAS
Derrick White,SG,SAS
OG Anunoby,SF,TOR
Aron Baynes,C,TOR
DeAndre' Bembry,SF,TOR
Khem Birch,C,TOR
Chris Boucher,C,TOR
Terence Davis,SG,TOR
Henry Ellenson,PF,TOR
Malachi Flynn,PG,TOR
Freddie Gillespie,PF,TOR
Jalen Harris,SG,TOR
Rodney Hood,SF,TOR
Stanley Johnson,PF,TOR
Alex Len,C,TOR
Kyle Lowry,PG,TOR
Patrick McCaw,SF,TOR
Norman Powell,SG,TOR
Pascal Siakam,PF,TOR
Matt Thomas,SG,TOR
Gary Trent Jr.,SG,TOR
Fred VanVleet,SG,TOR
Yuta Watanabe,SF,TOR
Paul Watson,SF,TOR
Deni Avdija,SF,WAS
Bradley Beal,SG,WAS
Jordan Bell,C,WAS
Dāvis Bertāns,PF,WAS
Isaac Bonga,SF,WAS
Troy Brown Jr.,SF,WAS
Thomas Bryant,C,WAS
Daniel Gafford,C,WAS
Anthony Gill,PF,WAS
Rui Hachimura,PF,WAS
Chandler Hutchison,SF,WAS
Alex Len,C,WAS
Robin Lopez,C,WAS
Garrison Mathews,SG,WAS
Raul Neto,PG,WAS
Anžejs Pasečņiks,C,WAS
Jerome Robinson,SG,WAS
Ish Smith,PG,WAS
Moritz Wagner,C,WAS
Russell Westbrook,PG,WAS
Cassius Winston,PG,WAS
